            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.1 Median weekly earnings for employees by sex, state and full-time or part-time, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,$,$,$,$,$,$,$,$,$
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2009, 400.0 , 379.6 , 400.0 , 410.5 , 382.9 , 400.8 , 478.0 , 402.3 , 400.0 
2010, 402.8 , 400.0 , 420.0 , 420.0 , 400.0 , 411.4 , 450.0 , 482.2 , 400.0 
2011, 425.0 , 400.0 , 450.0 , 450.0 , 432.0 , 425.0 , 459.1 , 500.0 , 428.9 
2012, 443.4 , 436.9 , 450.0 , 456.4 , 450.0 , 480.0 , 450.0 , 489.7 , 450.0 
2013, 460.5 , 437.2 , 500.0 , 465.8 , 456.1 , 450.0 , 500.0 , 528.2 , 455.6 
2014, 500.0 , 475.0 , 500.0 , 486.0 , 500.0 , 476.7 , 523.4 , 600.0 , 499.3 
2015, 500.0 , 484.0 , 543.0 , 534.6 , 500.0 , 499.7 , 505.0 , 600.0 , 500.0 
2016, 533.3 , 485.1 , 500.0 , 509.9 , 503.6 , 500.0 , 550.3 , 600.0 , 500.0 
2017, 527.4 , 514.6 , 550.0 , 547.3 , 525.0 , 539.4 , 534.2 , 549.8 , 533.0 
2018, 550.0 , 564.3 , 522.2 , 559.8 , 546.4 , 550.0 , 529.7 , 600.0 , 550.0 
2019, 580.0 , 540.0 , 599.1 , 555.9 , 600.0 , 560.9 , 597.0 , 650.0 , 571.0 
2020, 704.0 , 717.0 , 700.0 , 700.0 , 700.0 , 706.7 , 613.5 , 737.8 , 700.0 
2021, 648.7 , 609.8 , 600.0 , 616.4 , 600.0 , 600.0 , 650.0 , 758.8 , 614.0 
Total,,,,,,,,,
2004, 577.0 , 550.0 , 530.0 , 548.0 , 512.0 , 519.0 , 650.0 , 700.0 , 550.0 
2005, 600.0 , 600.0 , 560.0 , 550.0 , 550.0 , 514.8 , 670.0 , 750.0 , 590.0 
2006, 637.3 , 600.0 , 596.0 , 578.1 , 570.0 , 550.0 , 706.4 , 807.5 , 600.0 
2007, 650.0 , 640.0 , 615.0 , 606.4 , 600.0 , 567.0 , 706.6 , 900.0 , 638.4 
2008, 700.0 , 650.0 , 650.0 , 631.8 , 680.0 , 610.0 , 800.0 , 900.0 , 673.0 
2009, 700.0 , 692.0 , 700.0 , 630.0 , 682.5 , 650.0 , 850.0 , 961.0 , 700.0 
2010, 750.0 , 700.0 , 700.0 , 694.7 , 700.0 , 650.0 , 850.0 , 965.9 , 720.0 
2011, 750.0 , 750.0 , 750.0 , 700.0 , 750.0 , 691.2 , 941.9 ," 1,000.0 ", 750.0 
2012, 800.0 , 751.0 , 775.0 , 725.0 , 800.0 , 699.6 , 939.7 ," 1,051.8 ", 780.0 
2013, 800.0 , 750.0 , 800.0 , 760.0 , 800.0 , 700.0 ," 1,000.0 "," 1,116.6 ", 799.0 
2014, 850.0 , 820.0 , 800.0 , 767.0 , 850.0 , 708.2 ," 1,071.6 "," 1,105.6 ", 825.0 
2015, 865.0 , 800.0 , 850.0 , 819.4 , 862.2 , 760.0 ," 1,074.3 "," 1,150.0 ", 850.0 
2016, 900.0 , 828.8 , 880.0 , 793.9 , 875.0 , 750.0 ," 1,070.0 "," 1,129.0 ", 870.0 
2017, 909.0 , 898.0 , 865.0 , 840.0 , 872.1 , 750.0 ," 1,100.0 "," 1,150.0 ", 900.0 
2018, 943.1 , 900.0 , 900.0 , 854.8 , 923.4 , 825.0 ," 1,125.2 "," 1,153.8 ", 912.9 
2019, 999.0 , 923.0 , 920.0 , 900.0 , 960.0 , 871.6 ," 1,100.0 "," 1,195.8 ", 950.0 
2020," 1,000.0 "," 1,000.0 ", 975.6 , 900.0 , 950.0 , 875.0 ," 1,100.0 "," 1,272.3 "," 1,000.0 "
2021," 1,103.0 "," 1,000.0 "," 1,000.0 ", 950.0 , 996.1 , 900.0 ," 1,200.0 "," 1,344.9 "," 1,018.0 "
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2021,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
